LTER 2007 Fert 4,,,,Notes: ,"10F-Schmidt plot added to template, 6/12/2007",,,,,,,,,N2O run by,,,CH4 run by,,,CO2 run by,,
DF1,10F,0,kkkkkk,C,20,18,14,14.5,16.5,0,7,12,7.2,0.0,,wobbly lid,0.0,,wobbly lid,0.0,,wobbly lid
DF1,10F,1,150,C,20,18,14,14.5,16.5,0,56,5,56.1,48.9,,-,48.9,,-,48.9,,-
DF1,10F,2,151,C,20,18,14,14.5,16.5,1,32,40,92.7,85.5,,-,85.5,,-,85.5,,-
DF1,10F,3,149,C,20,18,14,14.5,16.5,2,17,59,138.0,130.8,,-,130.8,,-,130.8,,-
SF1,0,0,155,C,17.5,19,20,21.5,21,0,14,14,14.2,0.0,,-,0.0,,-,0.0,,-
SF1,0,1,154,C,17.5,19,20,21.5,21,1,1,25,61.4,47.2,,-,47.2,,-,47.2,,-
SF1,0,2,153,C,17.5,19,20,21.5,21,1,37,11,97.2,83.0,,-,83.0,,-,83.0,,-
SF1,0,3,156,C,17.5,19,20,21.5,21,2,24,11,144.2,130.0,,-,130.0,,-,130.0,,-
SF1,1F,0,161,C,16,18,20,22,21.5,0,16,58,17.0,0.0,,wobbly lid,0.0,,wobbly lid,0.0,,wobbly lid
SF1,1F,1,162,C,16,18,20,22,21.5,1,2,34,62.6,45.6,,-,45.6,,-,45.6,,-
SF1,1F,2,163,C,16,18,20,22,21.5,1,38,15,98.3,81.3,,-,81.3,,-,81.3,,-
SF1,1F,3,164,C,16,18,20,22,21.5,2,25,27,145.5,128.5,,-,128.5,,-,128.5,,-
SF1,3F,0,157,C,21.5,19.5,18,20,23.5,0,20,7,20.1,0.0,,-,0.0,,-,0.0,,-
SF1,3F,1,158,C,21.5,19.5,18,20,23.5,1,4,14,64.2,44.1,,-,44.1,,-,44.1,,-
SF1,3F,2,159,C,21.5,19.5,18,20,23.5,1,40,31,100.5,80.4,,-,80.4,,-,80.4,,-
SF1,3F,3,160,C,21.5,19.5,18,20,23.5,2,26,59,147.0,126.9,,-,126.9,,-,126.9,,-
DF2,0,0,165,A,18.5,18.5,17,16.5,17.5,0,32,16,32.3,0.0,,-,0.0,,-,0.0,,-
DF2,0,1,166,A,18.5,18.5,17,16.5,17.5,1,11,31,71.5,39.3,,-,39.3,,-,39.3,,-
DF2,0,2,167,A,18.5,18.5,17,16.5,17.5,1,49,43,109.7,77.5,,-,77.5,,-,77.5,,-
DF2,0,3,168,A,18.5,18.5,17,16.5,17.5,2,36,0,156.0,123.7,,-,123.7,,-,123.7,,-
DF2,1F,0,169,C,19,19,19,19.5,17,0,35,57,36.0,0.0,,-,0.0,,-,0.0,,-
DF2,1F,1,170,C,19,19,19,19.5,17,1,12,55,72.9,37.0,,-,37.0,,-,37.0,,-
DF2,1F,2,171,C,19,19,19,19.5,17,1,50,42,110.7,74.8,,-,74.8,,-,74.8,,-
DF2,1F,3,172,C,19,19,19,19.5,17,2,37,36,157.6,121.7,,-,121.7,,-,121.7,,-
DF2,3F,0,173,C,16,17,18,16.5,17.5,0,40,0,40.0,0.0,,wobbly lid,0.0,,wobbly lid,0.0,,wobbly lid
DF2,3F,1,174,C,16,17,18,16.5,17.5,1,13,56,73.9,33.9,,-,33.9,,-,33.9,,-
DF2,3F,2,175,C,16,17,18,16.5,17.5,1,51,56,111.9,71.9,,-,71.9,,-,71.9,,-
DF2,3F,3,176,C,16,17,18,16.5,17.5,2,39,12,159.2,119.2,,-,119.2,,-,119.2,,-
DF2,10F,0,177,C,17,17,17.5,17.5,16.5,0,42,45,42.8,0.0,,wobbly lid,0.0,,wobbly lid,0.0,,wobbly lid
DF2,10F,1,178,C,17,17,17.5,17.5,16.5,1,14,53,74.9,32.1,,-,32.1,,-,32.1,,-
DF2,10F,2,179,C,17,17,17.5,17.5,16.5,1,53,10,113.2,70.4,,-,70.4,,-,70.4,,-
DF2,10F,3,180,C,17,17,17.5,17.5,16.5,2,42,3,162.1,119.3,,-,119.3,,-,119.3,,-
SF2,0,0,181,C,20.5,19.5,18,20,21,0,0,0,0.0,0.0,,-,0.0,,-,0.0,,-
SF2,0,1,182,C,20.5,19.5,18,20,21,0,47,30,47.5,47.5,,-,47.5,,-,47.5,,-
SF2,0,2,183,C,20.5,19.5,18,20,21,1,32,50,92.8,92.8,,-,92.8,,-,92.8,,-
SF2,0,3,184,C,20.5,19.5,18,20,21,2,15,0,135.0,135.0,,-,135.0,,-,135.0,,-
SF2,1F,0,185,C,19,18.5,20,20.5,20,0,3,0,3.0,0.0,,-,0.0,,-,0.0,,-
SF2,1F,1,186,C,19,18.5,20,20.5,20,0,51,30,51.5,48.5,,-,48.5,,-,48.5,,-
SF2,1F,2,187,C,19,18.5,20,20.5,20,1,34,50,94.8,91.8,,-,91.8,,-,91.8,,-
SF2,1F,3,188,C,19,18.5,20,20.5,20,2,17,40,137.7,134.7,,-,134.7,,-,134.7,,-
SF2,3F,0,189,C,17,17.5,18,18,20,0,6,0,6.0,0.0,,-,0.0,,-,0.0,,-
SF2,3F,1,190,C,17,17.5,18,18,20,0,53,40,53.7,47.7,,-,47.7,,-,47.7,,-
SF2,3F,2,191,C,17,17.5,18,18,20,1,36,30,96.5,90.5,,-,90.5,,-,90.5,,-
SF2,3F,3,192,C,17,17.5,18,18,20,2,19,0,139.0,133.0,,-,133.0,,-,133.0,,-
DF3,0,0,193,A,17,17.5,18.5,19,19,0,17,0,17.0,0.0,,-,0.0,,-,0.0,,-
DF3,0,1,194,A,17,17.5,18.5,19,19,1,3,0,63.0,46.0,,-,46.0,,-,46.0,,-
DF3,0,2,195,A,17,17.5,18.5,19,19,1,44,5,104.1,87.1,,-,87.1,,-,87.1,,-
DF3,0,3,196,A,17,17.5,18.5,19,19,2,26,30,146.5,129.5,,-,129.5,,-,129.5,,-
DF3,1F,0,197,C,20.5,20,17,21,18,0,19,50,19.8,0.0,,-,0.0,,-,0.0,,-
DF3,1F,1,198,C,20.5,20,17,21,18,1,5,45,65.8,45.9,,-,45.9,,-,45.9,,-
DF3,1F,2,199,C,20.5,20,17,21,18,1,46,0,106.0,86.2,,-,86.2,,-,86.2,,-
DF3,1F,3,200,C,20.5,20,17,21,18,2,27,45,147.8,127.9,,-,127.9,,-,127.9,,-
DF3,3F,0,201,C,19,20.5,19,17.5,18,0,22,0,22.0,0.0,,-,0.0,,-,0.0,,-
DF3,3F,1,202,C,19,20.5,19,17.5,18,1,8,0,68.0,46.0,,-,46.0,,-,46.0,,-
DF3,3F,2,203,C,19,20.5,19,17.5,18,1,47,25,107.4,85.4,,-,85.4,,-,85.4,,-
DF3,3F,3,204,C,19,20.5,19,17.5,18,2,28,50,148.8,126.8,,-,126.8,,-,126.8,,-
DF3,10F,0,205,C,21,20,19.5,20.5,18,0,24,10,24.2,0.0,,-,0.0,,-,0.0,,-
DF3,10F,1,206,C,21,20,19.5,20.5,18,1,10,0,70.0,45.8,,-,45.8,,-,45.8,,-
DF3,10F,2,207,C,21,20,19.5,20.5,18,1,48,40,108.7,84.5,,-,84.5,,-,84.5,,-
DF3,10F,3,208,C,21,20,19.5,20.5,18,2,30,0,150.0,125.8,,-,125.8,,-,125.8,,-
SF3,0,0,209,A,21,21.5,22,21.5,19,0,34,10,34.2,0.0,,-,0.0,,-,0.0,,-
SF3,0,1,210,A,21,21.5,22,21.5,19,1,18,10,78.2,44.0,,-,44.0,,-,44.0,,-
SF3,0,2,211,A,21,21.5,22,21.5,19,1,56,5,116.1,81.9,,-,81.9,,-,81.9,,-
SF3,0,3,212,A,21,21.5,22,21.5,19,2,37,50,157.8,123.7,,-,123.7,,-,123.7,,-
SF3,1F,0,213,C,18.5,18.5,18.5,18.5,19,0,36,30,36.5,0.0,,-,0.0,,-,0.0,,-
SF3,1F,1,214,C,18.5,18.5,18.5,18.5,19,1,20,40,80.7,44.2,,-,44.2,,-,44.2,,-
SF3,1F,2,215,C,18.5,18.5,18.5,18.5,19,1,58,20,118.3,81.8,,-,81.8,,-,81.8,,-
SF3,1F,3,216,C,18.5,18.5,18.5,18.5,19,2,39,40,159.7,123.2,,-,123.2,,-,123.2,,-
SF3,3F,0,217,C,20,19.5,22,19,20,0,39,0,39.0,0.0,,-,0.0,,-,0.0,,-
SF3,3F,1,218,C,20,19.5,22,19,20,1,22,50,82.8,43.8,,-,43.8,,-,43.8,,-
SF3,3F,2,219,C,20,19.5,22,19,20,1,59,40,119.7,80.7,,-,80.7,,-,80.7,,-
SF3,3F,3,220,C,20,19.5,22,19,20,2,42,0,162.0,123.0,,-,123.0,,-,123.0,,-
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
