CIMMYT 2015 Series 26,,,,,,,,,,,,,,,,
time entered by: IT 128/2015,,,,,,,Comments: Vial #s not included on sampling sheet. 3 temperatures were averaged and average was entered for entire page.,,,,,,,,,
time checked by: ,,,,,,,,,,,,,,,,
sample date: 3/2/2015,,,,,,Chamber,Chamber,Chamber,Chamber,,,,,,,
105F,4,1,,,X,,17,14,14,15.66,0,13,50,13.8,10.0,
105F,4,2,,,X,,17,14,14,15.66,0,23,50,23.8,20.0,
105F,4,3,,,X,,17,14,14,15.66,0,33,50,33.8,30.0,
105B,4,0,,,X,,17,16,14,15.66,0,4,15,4.3,0.0,
105B,4,1,,,X,,17,16,14,15.66,0,14,15,14.3,10.0,
105B,4,2,,,X,,17,16,14,15.66,0,24,15,24.3,20.0,
105B,4,3,,,X,,17,16,14,15.66,0,34,15,34.3,30.0,
205F,1,0,,,X,,15,15,16,15,0,0,0,0.0,0.0,
205F,1,1,,,X,,15,15,16,15,0,10,0,10.0,10.0,
205F,1,2,,,X,,15,15,16,15,0,20,0,20.0,20.0,
205F,1,3,,,X,,15,15,16,15,0,30,0,30.0,30.0,
205B,1,0,,,X,,16,16,17,15,0,0,25,0.4,0.0,
205B,1,1,,,X,,16,16,17,15,0,10,25,10.4,10.0,
205B,1,2,,,X,,16,16,17,15,0,20,25,20.4,20.0,
205B,1,3,,,X,,16,16,17,15,0,30,25,30.4,30.0,
208F,1,0,,,X,,14,16,16,15,0,1,5,1.1,0.0,
208F,1,1,,,X,,14,16,16,15,0,11,5,11.1,10.0,
208F,1,2,,,X,,14,16,16,15,0,21,5,21.1,20.0,
208F,1,3,,,X,,14,16,16,15,0,31,5,31.1,30.0,
208B,1,0,,,X,,16,16,16,15,0,1,35,1.6,0.0,
208B,1,1,,,X,,16,16,16,15,0,11,35,11.6,10.0,
208B,1,2,,,X,,16,16,16,15,0,21,35,21.6,20.0,
208B,1,3,,,X,,16,16,16,15,0,31,35,31.6,30.0,
201F,4,0,,,X,,15,14,15,15,0,2,21,2.4,0.0,
201F,4,1,,,X,,15,14,15,15,0,12,21,12.4,10.0,
201F,4,2,,,X,,15,14,15,15,0,22,21,22.4,20.0,
201F,4,3,,,X,,15,14,15,15,0,32,21,32.4,30.0,
201B,4,0,,,X,,15,15,15,15,0,2,53,2.9,0.0,
201B,4,1,,,X,,15,15,15,15,0,12,53,12.9,10.0,
201B,4,2,,,X,,15,15,15,15,0,22,53,22.9,20.0,
201B,4,3,,,X,,15,15,15,15,0,32,53,32.9,30.0,
203F,4,0,,,X,,17,17,18,15,0,3,42,3.7,0.0,
203F,4,1,,,X,,17,17,18,15,0,13,42,13.7,10.0,
203F,4,2,,,X,,17,17,18,15,0,23,42,23.7,20.0,
203F,4,3,,,X,,17,17,18,15,0,33,42,33.7,30.0,
203B,4,0,,,X,,16,16,17,15,0,4,13,4.2,0.0,
203B,4,1,,,X,,16,16,17,15,0,14,13,14.2,10.0,
203B,4,2,,,X,,16,16,17,15,0,24,13,24.2,20.0,
203B,4,3,,,X,,16,16,17,15,0,34,13,34.2,30.0,
207F,4,0,,,X,,16,15,16,15,0,5,11,5.2,0.0,
207F,4,1,,,X,,16,15,16,15,0,15,11,15.2,10.0,
207F,4,2,,,X,,16,15,16,15,0,25,11,25.2,20.0,
207F,4,3,,,X,,16,15,16,15,0,35,11,35.2,30.0,
207B,4,0,,,X,,16,16,17,15,0,5,42,5.7,0.0,
207B,4,1,,,X,,16,16,17,15,0,15,42,15.7,10.0,
207B,4,2,,,X,,16,16,17,15,0,25,42,25.7,20.0,
207B,4,3,,,X,,16,16,17,15,0,35,42,35.7,30.0,
303F,2,0,,,X,,16.5,16,15,15,0,0,0,0.0,0.0,
303F,2,1,,,X,,16.5,16,15,15,0,10,0,10.0,10.0,
303F,2,2,,,X,,16.5,16,15,15,0,20,0,20.0,20.0,
303F,2,3,,,X,,16.5,16,15,15,0,30,0,30.0,30.0,
303B,2,0,,,X,,17,17,15,15,0,0,18,0.3,0.0,
303B,2,1,,,X,,17,17,15,15,0,10,18,10.3,10.0,
303B,2,2,,,X,,17,17,15,15,0,20,18,20.3,20.0,
303B,2,3,,,X,,17,17,15,15,0,30,18,30.3,30.0,
305F,2,0,,,X,,15.5,16.5,16,15,0,0,43,0.7,0.0,
305F,2,1,,,X,,15.5,16.5,16,15,0,10,43,10.7,10.0,
305F,2,2,,,X,,15.5,16.5,16,15,0,20,43,20.7,20.0,
305F,2,3,,,X,,15.5,16.5,16,15,0,30,43,30.7,30.0,
305B,2,0,,,X,,16,16,15.5,15,0,1,10,1.2,0.0,
305B,2,1,,,X,,16,16,15.5,15,0,11,10,11.2,10.0,
305B,2,2,,,X,,16,16,15.5,15,0,21,10,21.2,20.0,
305B,2,3,,,X,,16,16,15.5,15,0,31,10,31.2,30.0,
307F,3,0,,,X,,17,17,16.5,15,0,1,50,1.8,0.0,
307F,3,1,,,X,,17,17,16.5,15,0,11,50,11.8,10.0,
307F,3,2,,,X,,17,17,16.5,15,0,21,50,21.8,20.0,
307F,3,3,,,X,,17,17,16.5,15,0,31,50,31.8,30.0,
307B,3,0,,,X,,17.5,17,16,15,0,2,15,2.3,0.0,
307B,3,1,,,X,,17.5,17,16,15,0,12,15,12.3,10.0,
307B,3,2,,,X,,17.5,17,16,15,0,22,15,22.3,20.0,
307B,3,3,,,X,,17.5,17,16,15,0,32,15,32.3,30.0,
301F,3,0,,,X,,18,15.5,16,15,0,2,50,2.8,0.0,
301F,3,1,,,X,,18,15.5,16,15,0,12,50,12.8,10.0,
301F,3,2,,,X,,18,15.5,16,15,0,22,50,22.8,20.0,
301F,3,3,,,X,,18,15.5,16,15,0,32,50,32.8,30.0,
301B,3,0,,,X,,17,16,16.5,15,0,3,17,3.3,0.0,
301B,3,1,,,X,,17,16,16.5,15,0,13,17,13.3,10.0,
301B,3,2,,,X,,17,16,16.5,15,0,23,17,23.3,20.0,
301B,3,3,,,X,,17,16,16.5,15,0,33,17,33.3,30.0,
308F,3,0,,,X,,17,15,15,15,0,3,50,3.8,0.0,
308F,3,1,,,X,,17,15,15,15,0,13,50,13.8,10.0,
308F,3,2,,,X,,17,15,15,15,0,23,50,23.8,20.0,
308F,3,3,,,X,,17,15,15,15,0,33,50,33.8,30.0,
308B,3,0,,,X,,17,15,16,15,0,4,10,4.2,0.0,
308B,3,1,,,X,,17,15,16,15,0,14,10,14.2,10.0,
308B,3,2,,,X,,17,15,16,15,0,24,10,24.2,20.0,
308B,3,3,,,X,,17,15,16,15,0,34,10,34.2,30.0,
407F,2,0,,,X,,15,15,16,15,0,0,0,0.0,0.0,
407F,2,1,,,X,,15,15,16,15,0,10,0,10.0,10.0,
407F,2,2,,,X,,15,15,16,15,0,20,0,20.0,20.0,
407F,2,3,,,X,,15,15,16,15,0,30,0,30.0,30.0,
407B,2,0,,,X,,16,16,16,15,0,0,30,0.5,0.0,
407B,2,1,,,X,,16,16,16,15,0,10,30,10.5,10.0,
407B,2,2,,,X,,16,16,16,15,0,20,30,20.5,20.0,
407B,2,3,,,X,,16,16,16,15,0,30,30,30.5,30.0,
408F,2,0,,,X,,16,15,16,15,0,1,8,1.1,0.0,
408F,2,1,,,X,,16,15,16,15,0,11,8,11.1,10.0,
408F,2,2,,,X,,16,15,16,15,0,21,8,21.1,20.0,
408F,2,3,,,X,,16,15,16,15,0,31,8,31.1,30.0,
408B,2,0,,,X,,16,15,15,15,0,1,37,1.6,0.0,
408B,2,1,,,X,,16,15,15,15,0,11,37,11.6,10.0,
408B,2,2,,,X,,16,15,15,15,0,21,37,21.6,20.0,
408B,2,3,,,X,,16,15,15,15,0,31,37,31.6,30.0,
401F,2,0,,,X,,16,16,17,15,0,2,30,2.5,0.0,
401F,2,1,,,X,,16,16,17,15,0,12,30,12.5,10.0,
401F,2,2,,,X,,16,16,17,15,0,22,30,22.5,20.0,
401F,2,3,,,X,,16,16,17,15,0,32,30,32.5,30.0,
401B,2,0,,,X,,15,17,16,15,0,2,58,3.0,0.0,
401B,2,1,,,X,,15,17,16,15,0,12,58,13.0,10.0,
401B,2,2,,,X,,15,17,16,15,0,22,58,23.0,20.0,
401B,2,3,,,X,,15,17,16,15,0,32,58,33.0,30.0,
403F,3,0,,,X,,14,15,16,15,0,3,48,3.8,0.0,
403F,3,1,,,X,,14,15,16,15,0,13,48,13.8,10.0,
403F,3,2,,,X,,14,15,16,15,0,23,48,23.8,20.0,
403F,3,3,,,X,,14,15,16,15,0,33,48,33.8,30.0,
403B,3,0,,,X,,15,15,15,15,0,4,28,4.5,0.0,
403B,3,1,,,X,,15,15,15,15,0,14,28,14.5,10.0,
403B,3,2,,,X,,15,15,15,15,0,24,28,24.5,20.0,
403B,3,3,,,X,,15,15,15,15,0,34,28,34.5,30.0,
405F,3,0,,,X,,17,16,17,15,0,5,18,5.3,0.0,
405F,3,1,,,X,,17,16,17,15,0,15,18,15.3,10.0,
405F,3,2,,,X,,17,16,17,15,0,25,18,25.3,20.0,
405F,3,3,,,X,,17,16,17,15,0,35,18,35.3,30.0,
405B,3,0,,,X,,15,16,16,15,0,5,48,5.8,0.0,
405B,3,1,,,X,,15,16,16,15,0,15,48,15.8,10.0,
405B,3,2,,,X,,15,16,16,15,0,25,48,25.8,20.0,
405B,3,3,,,X,,15,16,16,15,0,35,48,35.8,30.0,
